Journal,Issn,Publisher,Society,Author guideline url,Data citation score,Data citation justification,Data transparency score,Data transparency justification,Analysis code transparency score,Analysis code transparency justification,Materials transparency score,Materials transparency justification,Design & analysis reporting guidelines score,Design & analysis reporting guidelines justification,Study preregistration score,Study preregistration justification,Analysis plan preregistration score,Analysis plan preregistration justification,Replication score,Replication justification,Registered reports & publication bias score,Registered reports & publication bias justification,Open science badges score,Open science badges justification,Total
Harvard Law Review,0017-811X,,,https://harvardlawreview.org/submissions/,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Yale Law Journal,0044-0094,,,https://www.yalelawjournal.org/submissions,0,,2,Data must be made available to editors. Waiver of open data is required if data are proprietary or confidential.,2,"Data policy applies to code, as well. ",0,,0,,0,,0,,0,,0,,0,,4
ACM Transactions on Interactive Intelligent Systems,2160-6463,,,https://dl.acm.org/journal/tiis/author-guidelines,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
International Journal of Human-Computer Studies,1071-5819,Elsevier,,https://www.elsevier.com/journals/international-journal-of-human-computer-studies/1071-5819/guide-for-authors,1,,0,Encourages but does not require a data statement,0,,0,,0,,0,,0,,0,,0,,0,,1
The Visual Computer,1432-2315,Springer Nature,,https://www.springer.com/journal/371/submission-guidelines,0,,1,,1,,1,,0,,0,,0,,0,,0,,0,,3
Transactions on Graphics,0730-0301,,,https://dl.acm.org/journal/tog/author-guidelines,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Computational Reproducibility Badge,1
Journal of Visualization,1875-8975,Springer Nature,,https://www.springer.com/journal/12650/submission-guidelines,0,,0,All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards.,0,All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards.,0,All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards.,0,,0,,0,,0,,0,,0,,0
The American Statistician,1537-2731,Taylor and Francis,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=utas20,0,,0,"The ASA strongly encourages authors to submit datasets, code, other programs, and/or extended appendices that are directly relevant to their submitted articles.",0,"The ASA strongly encourages authors to submit datasets, code, other programs, and/or extended appendices that are directly relevant to their submitted articles.",0,"The ASA strongly encourages authors to submit datasets, code, other programs, and/or extended appendices that are directly relevant to their submitted articles.",0,,0,,0,,0,,0,,0,,0
Information Visualization,1473-8716,SAGE,,https://journals.sagepub.com/author-instructions/IVI,1,Points to data citation guidelines,0,Encourages but does not require a data statement,0,,0,,0,,0,,0,,0,,0,,0,,1
Computer Graphics and Applications,0097-8493,IEEE,,https://www.computer.org/csdl/magazine/cg/write-for-us/15470?title=Author%20Information&periodical=IEEE%20Computer%20Graphics%20and%20Applications,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Provides computational reproducibility badges for some findings,1
Computers and Graphics,0097-8493,Elsevier,,https://www.elsevier.com/journals/computers-and-graphics/0097-8493/guide-for-authors,1,,0,Encourages but does not require a data statement,0,,0,,0,,0,,0,,0,,0,,0,,1
Transactions on Computer-Human Interaction,1073-0516,IEEE,,http://tochi.acm.org/authors/,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Computer Graphics Forum,1467-8659,Wiley,,https://onlinelibrary.wiley.com/page/journal/14678659/homepage/forauthors.html,0,,,,0,,0,,0,,0,,0,,0,,0,,1,Computational Reproducibility Badge,1
Transactions on Visualization and Computer Graphics,1941-0506,IEEE,,https://www.computer.org/csdl/journal/tg,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Computational Reproducibility Badge,1
Traumatology,1085-9373,American Psychological Association,,https://www.apa.org/pubs/journals/trm/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Translational Issues in Psychological Science,2332-2179,American Psychological Association,,https://www.apa.org/pubs/journals/tps/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Training and Education in Professional Psychology,1931-3926,American Psychological Association,,https://www.apa.org/pubs/journals/tep/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
The Psychologist-Manager Journal,1550-3461,,,https://www.apa.org/pubs/journals/mgr/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
The Humanistic Psychologist,1547-3333,American Psychological Association,,https://www.apa.org/pubs/journals/hum/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
"Technology, Mind, and Behavior",2689-0208,American Psychological Association,,https://tmb.pubpub.org/submit,1,,1,"Encourages data, methods, and materials sharing with a link; publishes availability statement.",1,"Encourages data, methods, and materials sharing with a link; publishes availability statement.",1,"Encourages data, methods, and materials sharing with a link; publishes availability statement.",1,Encourages use of the Journal Article Reporting Standards.,0,,0,,3,"Publishes negative findings, replications, commentaries and reviews; Encourages preregistration of replications.",3,Publishes registered reports regardless of outcome.,2,,13
Stigma and Health,2376-6964,American Psychological Association,,https://www.apa.org/pubs/journals/sah/index?tab=4,0,,0,,0,,0,,1,Encourages use of the Journal Article Reporting Standards.,0,,0,,0,,0,,0,,1
"Sport, Exercise, and Performance Psychology",2157-3913,American Psychological Association,,https://www.apa.org/pubs/journals/spy/index?tab=4,1,,1,,1,,1,,1,Encourages use of the Journal Article Reporting Standards.,0,,0,,1,,0,,2,,8
Spirituality in Clinical Practice,2326-4519,American Psychological Association,,https://www.apa.org/pubs/journals/scp/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
School Psychology,2578-4226,American Psychological Association,,https://www.apa.org/pubs/journals/spq/index?tab=4,0,,0,,0,,0,,2,Requires adherence to the Journal Article Reporting Standards.,0,,0,,0,,0,,0,,2
Scholarship of Teaching and Learning in Psychology,2332-211X,American Psychological Association,,https://www.apa.org/pubs/journals/stl/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Rehabilitation Psychology,1939-1544,American Psychological Association,,https://www.apa.org/pubs/journals/rep/index?tab=4,0,,0,,0,,0,,1,Requires CONSORT for RCTs; Encourages TREND for nonrandomized trials.,0,,0,,1,Encourages replication studies.,0,,0,,2
Psychotherapy,1939-1536,American Psychological Association,,https://www.apa.org/pubs/journals/pst/index?tab=4,0,,0,,0,,0,,1,Encourages use of the Journal Article Reporting Standards.,0,,0,,0,,0,,0,,1
"Psychomusicology: Music, Mind, and Brain",2162-1535,American Psychological Association,,https://www.apa.org/pubs/journals/pmu/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
"Psychology, Public Policy, and Law",1939-1528,American Psychological Association,,https://www.apa.org/pubs/journals/law/index?tab=4,0,,0,Encourages data and materials sharing.,0,,0,Encourages data and materials sharing.,0,,0,,0,,0,,0,,0,,0
Psychology of Violence,2152-081X,American Psychological Association,,https://www.apa.org/pubs/journals/vio/index?tab=4,0,,0,Encourages data and materials sharing.,0,,0,Encourages data and materials sharing.,1,Encourages use of the Journal Article Reporting Standards.,0,,0,,0,,0,,0,,1
Psychology of Sexual Orientation and Gender Diversity,2329-0390,American Psychological Association,,https://www.apa.org/pubs/journals/sgd/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Psychology of Religion and Spirituality,1943-1562,American Psychological Association,,https://www.apa.org/pubs/journals/rel/index?tab=4,0,,0,,0,,0,,0,Encourages use of the Journal Article Reporting Standards for qualitative work only.,0,,0,,0,,0,,0,,0
"Psychology of Consciousness: Theory, Research, and Practice",2326-5531,American Psychological Association,,https://www.apa.org/pubs/journals/cns/index?tab=4,0,,1,Encourages data and code sharing with a link; publishes data availability statement.,1,Encourages data and code sharing with a link; publishes data availability statement.,0,,0,,0,,0,,0,"Encourages replications, but only when accompanied by a new study yielding statistically significant finding.",0,,0,,2
Journal of Cognition,2514-4820,Ubiquity Press,,https://www.journalofcognition.org/about/editorialpolicies/,3,,2,,2,,2,,1,,1,,1,,3,,3,,0,,18
"Psychology of Aesthetics, Creativity, and the Arts",1931-390X,American Psychological Association,,https://www.apa.org/pubs/journals/aca/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Psychology of Addictive Behaviors,1939-1501,American Psychological Association,,https://www.apa.org/pubs/journals/adb/index?tab=4,0,,0,Encourages data and materials sharing with a link.,0,,0,Encourages data and materials sharing with a link.,2,Requires adherence to the Journal Article Reporting Standards.,1,Encourages registration of non-clinical trials.,1,,3,Publishes replications and encourages preregistration of replications.,3,Publishes registered reports regardless of outcome.,2,,12
"Psychological Trauma: Theory, Research, Practice, and Policy",1942-969X,American Psychological Association,,https://www.apa.org/pubs/journals/tra/index?tab=4,0,"Provides example of reusing a public dataset, but unclear if this disclosure is provided in the final article.",0,,0,,0,,1,Encourages use of the Journal Article Reporting Standards.,0,,0,,0,,0,,0,,1
Psychological Services,1939-148X,American Psychological Association,,https://www.apa.org/pubs/journals/ser/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Psychological Review,1939-1471,American Psychological Association,,https://www.apa.org/pubs/journals/rev/index?tab=4,0,,0,,2,,0,,0,,0,,0,,0,,0,,0,,2
Psychological Bulletin,1939-1455,American Psychological Association,,https://www.apa.org/pubs/journals/bul/index?tab=4,0,,1,Encourages data and code sharing with a link; publishes availability statement.,1,Encourages data and code sharing with a link; publishes availability statement.,0,,0,,0,,0,,0,,0,,0,,2
Psychological Assessment,1939-134X,American Psychological Association,,https://www.apa.org/pubs/journals/pas/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Psychoanalytic Psychology,1939-1331,American Psychological Association,,https://www.apa.org/pubs/journals/pap/index?tab=4,0,,0,,0,,0,,0,,0,,0,,1,Encourages replication studies.,0,,0,,1
Psychiatric Rehabilitation Journal,1559-3126,American Psychological Association,,https://www.apa.org/pubs/journals/prj/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Professional Psychology: Research and Practice,1939-1323,American Psychological Association,,https://www.apa.org/pubs/journals/pro/index?tab=4,0,,0,,0,,0,,0,,0,,0,,1,Accepts replication studies as brief reports.,0,,0,,1
Practice Innovations,2377-8903,American Psychological Association,,https://www.apa.org/pubs/journals/pri/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
"Personality Disorders: Theory, Research, and Treatment",1949-2723,American Psychological Association,,https://www.apa.org/pubs/journals/per/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Science Immunology,2470-9468,AAAS,,https://www.sciencemag.org/authors/science-journals-editorial-policies,2,,2,,2,,1,"Materials are to be made available by authors upon reasonable requests, though deposition in repositories is not required.",1,,1,,1,,1,,0,,0,,11
Science Translational Medicine,1946-6242,AAAS,,https://www.sciencemag.org/authors/science-journals-editorial-policies,2,,2,,2,,1,"Materials are to be made available by authors upon reasonable requests, though deposition in repositories is not required.",1,,1,,1,,1,,0,,0,,11
Science Signaling,1937-9145,AAAS,,https://www.sciencemag.org/authors/science-journals-editorial-policies,2,,2,,2,,1,"Materials are to be made available by authors upon reasonable requests, though deposition in repositories is not required.",1,,1,,1,,1,,0,,0,,11
Motivation Science,2333-8121,American Psychological Association,,https://www.apa.org/pubs/journals/mot/index?tab=4,0,Does not describe citation of 3rd party datasets.,1,Encourages data and materials sharing with a link; publishes availability statement.,1,Requires code availability statement.,1,Encourages data and materials sharing with a link; publishes availability statement.,2,Encourages use of the Journal Article Reporting Standards; requires adherence to much of it with specific requirements.,0,,0,,1,Encourages replication studies.,0,,0,,6
Journal of Threat Assessment and Management,2169-4850,American Psychological Association,,https://www.apa.org/pubs/journals/tam/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,,2
Journal of Theoretical and Philosophical Psychology,2151-3341,American Psychological Association,,https://www.apa.org/pubs/journals/teo/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Journal of Rural Mental Health,2163-8969,American Psychological Association,,https://www.apa.org/pubs/journals/rmh/index?tab=4,0,,0,,0,,0,,1,Encourages use of the Journal Article Reporting Standards.,0,,0,,0,,0,,0,,1
Journal of Psychotherapy Integration,1573-3696,American Psychological Association,,https://www.apa.org/pubs/journals/int/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Journal of Occupational Health Psychology,1939-1307,American Psychological Association,,https://www.apa.org/pubs/journals/ocp/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
"Journal of Neuroscience, Psychology, and Economics",2151-318X,American Psychological Association,,https://www.apa.org/pubs/journals/npe/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Journal of Latinx Psychology,2578-8094,American Psychological Association,,https://www.apa.org/pubs/journals/lat/index?tab=4,0,,0,,0,,0,,1,Encourages use of the Journal Article Reporting Standards.,0,,0,,0,,0,,0,,1
"Journal of Experimental Psychology: Learning, Memory, and Cognition",1939-1285,American Psychological Association,,https://www.apa.org/pubs/journals/xlm/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,,2
Journal of Experimental Psychology: Human Perception and Performance,1939-1277,American Psychological Association,,https://www.apa.org/pubs/journals/xhp/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Journal of Experimental Psychology: General,1939-2222,American Psychological Association,,https://www.apa.org/pubs/journals/xge/index?tab=4,0,,0,Encourages data and materials sharing with a link.,0,,0,Encourages data and materials sharing with a link.,0,,0,,0,,1,Encourages replication studies.,0,,0,,1
Journal of Experimental Psychology: Applied,1939-2192,American Psychological Association,,https://www.apa.org/pubs/journals/xap/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Journal of Experimental Psychology: Animal Learning and Cognition,2329-8464,American Psychological Association,,https://www.apa.org/pubs/journals/xan/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Journal of Diversity in Higher Education,1938-8934,American Psychological Association,,https://www.apa.org/pubs/journals/dhe/index?tab=4,0,,0,,0,,0,,1,Encourages use of the Journal Article Reporting Standards.,0,,0,,0,,0,,0,,1
Journal of Consulting and Clinical Psychology,1939-2117,American Psychological Association,,https://www.apa.org/pubs/journals/ccp/index?tab=4,0,,0,"Encourages data and materials sharing with a link, but does not require sharing or an availability statement.",0,,0,"Encourages data and materials sharing with a link, but does not require sharing or an availability statement.",2,Requires use of the Journal Article Reporting Standards.,0,,0,,1,Encourages replication studies.,0,,0,,3
Journal of Applied Psychology,1939-1854,American Psychological Association,,https://www.apa.org/pubs/journals/apl/index?tab=4,1,,0,Encourages data sharing.,0,,0,Encourages materials sharing.,1,Encourages JARS and journal-created checklist,1,Encourages preregistrations and analysis plans.,1,Encourages preregistrations and analysis plans.,1,Encourages replication studies.,0,,0,,5
Journal of Abnormal Psychology,1939-1846,American Psychological Association,,https://www.apa.org/pubs/journals/abn/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
"International Perspectives in Psychology: Research, Practice, Consultation",2157-3891,American Psychological Association,,https://www.apa.org/pubs/journals/ipp/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
International Journal of Stress Management,1573-3424,American Psychological Association,,https://www.apa.org/pubs/journals/str/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
International Journal of Play Therapy,1939-0629,American Psychological Association,,https://www.apa.org/pubs/journals/pla/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
History of Psychology,1939-0610,American Psychological Association,,https://www.apa.org/pubs/journals/hop/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Health Psychology,1930-7810,American Psychological Association,,https://www.apa.org/pubs/journals/hea/index?tab=4,0,,0,,0,,0,,1,"Encourages use of CONSORT, PRISMA, STROBE, STARD, SPIRIT, EQUATOR, and JARS.",0,,0,,0,,0,,0,,1
"Families, Systems, & Health",1939-0602,American Psychological Association,,https://www.apa.org/pubs/journals/fsh/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Emotion,1931-1516,American Psychological Association,,https://www.apa.org/pubs/journals/emo/index?tab=4,0,,0,Encourages data sharing with a link; requires a reason for not sharing but does not publish it.,0,,0,Encourages data sharing with a link; requires a reason for not sharing but does not publish it.,1,Encourages use of Journal Article Reporting Standards.,0,,0,,0,,1,"Articles evaluated by the soundness of the research methodology, appropriateness of the statistical analyses, and accuracy in interpreting the findings.",0,,2
Dreaming,1573-3351,American Psychological Association,,https://www.apa.org/pubs/journals/drm/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Couple and Family Psychology: Research and Practice,2160-410X,American Psychological Association,,https://www.apa.org/pubs/journals/cfp/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Consulting Psychology Journal: Practice and Research,1939-0149,American Psychological Association,,https://www.apa.org/pubs/journals/cpb/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,,2
Clinical Practice in Pediatric Psychology,2169-4834,American Psychological Association,,https://www.apa.org/pubs/journals/cpp/index?tab=4,0,,0,,0,,0,,1,"Encourages use of CONSORT, TREND, (SQUIRE 2.0), CHEERS, and PRISMA.",0,,0,,0,,0,,0,,1
Canadian Psychology,1878-7304,American Psychological Association,,https://www.apa.org/pubs/journals/cap/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Canadian Journal of Behavioural Science,1879-2669,American Psychological Association,,https://www.apa.org/pubs/journals/cbs/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Behavior Analysis: Research and Practice,2372-9414,American Psychological Association,,https://www.apa.org/pubs/journals/bar/index?tab=4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Archives of Scientific Psychology,2169-3269,American Psychological Association,,https://www.apa.org/pubs/journals/arc/index?tab=4,0,,2,Authors are required to make data available either openly or through the journal's review committee.,0,,0,,1,Encourages use of the Journal Article Reporting Standards.,0,,0,,0,,0,,0,,3
American Psychologist,1935-990X,American Psychological Association,,https://www.apa.org/pubs/journals/amp/index?tab=4,0,,0,,0,,0,,1,Encourages use of the Journal Article Reporting Standards.,0,,0,,0,,0,,0,,1
International Review of Social Psychology,2397-8570,Ubiquity Press,,https://www.rips-irsp.com/about/submissions/,0,,1,,0,,0,"Encourages sharing, but does not require an availability statement.",0,,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Policy mentions use of analysis plans in preregistrations.,3,,3,,0,,9
Social Psychological Bulletin,2569-653X,PsychOpen,,https://spb.psychopen.eu/index.php/spb/open-science,1,Encourages dataset citation.,2,,1,,1,,1,,2,"If authors preregistered, article will indicate where the preregistered information can be accessed and journal will verify the link.",2,"If authors preregistered, article will indicate where the preregistered information can be accessed and journal will verify the link.",3,Offers replication studies submitted as Registered Reports.,3,Offers Registered Reports for novel work and policy page is being updated to more transparently reflect this.,2,Offers badges and policy page is being updated to more transparently reflect this.,18
Journal of Gerontology Psychological Sciences,1758-5368,Oxford University Press,,https://academic.oup.com/psychsocgerontology/pages/General_Instruction_2,1,Does not apply to Journal of Gerontology Social Sciences,1,Does not apply to Journal of Gerontology Social Sciences,1,Does not apply to Journal of Gerontology Social Sciences,1,Does not apply to Journal of Gerontology Social Sciences,1,Does not apply to Journal of Gerontology Social Sciences,1,Does not apply to Journal of Gerontology Social Sciences,1,Does not apply to Journal of Gerontology Social Sciences,1,Does not apply to Journal of Gerontology Social Sciences,0,,0,,8
Conservation Biology,1523-1739,Wiley,,https://conbio.onlinelibrary.wiley.com/hub/journal/15231739/homepage/forauthors.html,1,Encourages dataset citation.,1,Requires disclosure of data availability through transparency checklist.,1,Requires disclosure of code availability through transparency checklist.,1,Requires disclosure of materials availability through transparency checklist.,2,Requires use of a transparency checklist for all submissions.,0,No mention of preregistration.,0,No mention of preregistration with analysis plans.,0,No mention of replication studies.,3,,0,,9
"Cognitive Research, Principles and Implications",2365-7464,Springer Nature,,https://cognitiveresearchjournal.springeropen.com/submission-guidelines,2,,1,,1,,1,,1,,1,,1,,3,,3,,0,,14
Behavior Research Methods,1554-3528,Springer Nature,,https://www.springer.com/journal/13428/submission-guidelines,2,,1,,1,,1,,1,,1,,1,,0,,0,,0,,8
Learning and Behavior,1543-4508,Springer Nature,,https://www.springer.com/journal/13420/submission-guidelines,2,,1,,1,,1,,1,,1,,1,,0,,0,,0,,8
"Cognitive, Affective, and Behavioral Neuroscience",1531-135X,Springer Nature,,https://www.springer.com/journal/13415/submission-guidelines,2,,1,,1,,1,,1,,1,,1,,0,,0,,0,,8
" Attention, Perception, and Psychophysics",1943-393X,Springer Nature,,https://www.springer.com/journal/13414/submission-guidelines,2,,1,,1,,1,,1,,1,,1,,3,,3,,0,,14
Psychonomic Bulletin and Review,1531-5320,Springer Nature,,https://www.springer.com/journal/13423/submission-guidelines,2,,1,,1,,1,,1,,1,,1,,0,,0,,0,,8
Memory and Cognition,1532-5946,Springer Nature,,https://www.springer.com/journal/13421/submission-guidelines,2,,1,,1,,1,,1,,1,,1,,0,,0,,0,,8
Behavioral Ecology,1465-7279,Oxford University Press,,https://academic.oup.com/beheco/pages/information_for_authors,2,Requires citation of data used in the article.,2,Requires authors to upload data after article has been accepted for publication. ,0,No mention of code sharing or availability statement.,0,No mention of study materials sharing or availability statement.,2,Requires use of data sharing best practices guidelines.,0,No mention of preregistration.,0,0,0,No mention of replication studies.,0,,0,,6
