Journal title,ISSN,eISSN,Publisher name,Publisher address,Languages,Web of Science Categories
JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,0022-3514,1939-1315,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Social"
JOURNAL OF PERSONALITY ASSESSMENT,0022-3891,1532-7752,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Clinical | Psychology, Social"
JOURNAL OF PERSONNEL PSYCHOLOGY,1866-5888,2190-5150,HOGREFE & HUBER PUBLISHERS,"MERKELSTR 3, GOTTINGEN, GERMANY, D-37085",English,"Psychology, Applied"
JOURNAL OF POSITIVE BEHAVIOR INTERVENTIONS,1098-3007,1538-4772,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Clinical | Education, Special"
JOURNAL OF POSITIVE PSYCHOLOGY,1743-9760,1743-9779,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Multidisciplinary"
JOURNAL OF PSYCHOACTIVE DRUGS,0279-1072,2159-9777,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Clinical | Substance Abuse"
JOURNAL OF PSYCHOEDUCATIONAL ASSESSMENT,0734-2829,1557-5144,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Educational"
JOURNAL OF PSYCHOLINGUISTIC RESEARCH,0090-6905,1573-6555,SPRINGER/PLENUM PUBLISHERS,"233 SPRING ST, NEW YORK, USA, NY, 10013",English,"Linguistics | Psychology, Experimental"
JOURNAL OF PSYCHOLOGY,0022-3980,1940-1019,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Multidisciplinary"
JOURNAL OF PSYCHOLOGY AND THEOLOGY,0091-6471,2328-1162,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Multidisciplinary"
JOURNAL OF PSYCHOLOGY IN AFRICA,1433-0237,1815-5626,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Multidisciplinary"
JOURNAL OF PSYCHOPATHOLOGY AND BEHAVIORAL ASSESSMENT,0882-2689,1573-3505,SPRINGER/PLENUM PUBLISHERS,"233 SPRING ST, NEW YORK, USA, NY, 10013",English,"Psychology, Clinical"
JOURNAL OF PSYCHOPHYSIOLOGY,0269-8803,2151-2124,HOGREFE & HUBER PUBLISHERS,"MERKELSTR 3, GOTTINGEN, GERMANY, D-37085",English,"Psychology, Biological"
JOURNAL OF PSYCHOSOCIAL ONCOLOGY,0734-7332,1540-7586,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Social"
JOURNAL OF PSYCHOSOMATIC OBSTETRICS & GYNECOLOGY,0167-482X,1743-8942,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",English,"Psychology, Clinical"
JOURNAL OF RATIONAL-EMOTIVE AND COGNITIVE-BEHAVIOR THERAPY,0894-9085,1573-6563,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Psychology, Clinical"
JOURNAL OF REPRODUCTIVE AND INFANT PSYCHOLOGY,0264-6838,1469-672X,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Multidisciplinary"
JOURNAL OF RESEARCH IN PERSONALITY,0092-6566,1095-7251,ACADEMIC PRESS INC ELSEVIER SCIENCE,"525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495",English,"Psychology, Social"
JOURNAL OF RESEARCH IN READING,0141-0423,1467-9817,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Educational | Education & Educational Research"
JOURNAL OF RESEARCH ON ADOLESCENCE,1050-8392,1532-7795,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Developmental | Family Studies"
JOURNAL OF SCHOOL PSYCHOLOGY,0022-4405,1873-3506,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,"Psychology, Educational"
JOURNAL OF SCHOOL VIOLENCE,1538-8220,1538-8239,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Educational | Education & Educational Research | Psychology, Developmental | Criminology & Penology"
JOURNAL OF SEX & MARITAL THERAPY,0092-623X,1521-0715,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Clinical | Family Studies"
JOURNAL OF SEX RESEARCH,0022-4499,1559-8519,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Clinical | Social Sciences, Interdisciplinary"
JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,0736-7236,1943-2771,GUILFORD PUBLICATIONS INC,"370 SEVENTH AVE, SUITE 1200, NEW YORK, USA, NY, 10001-1020",English,"Psychology, Clinical | Psychology, Social"
JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS,0265-4075,1460-3608,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,"Communication | Family Studies | Psychology, Social"
JOURNAL OF SOCIAL ISSUES,0022-4537,1540-4560,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Social | Social Issues"
JOURNAL OF SOCIAL PSYCHOLOGY,0022-4545,1940-1183,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Social"
JOURNAL OF SPORT & EXERCISE PSYCHOLOGY,0895-2779,1543-2904,HUMAN KINETICS PUBL INC,"1607 N MARKET ST, PO BOX 5076, CHAMPAIGN, USA, IL, 61820-2200",English,"Hospitality, Leisure, Sport & Tourism | Psychology, Applied"
JOURNAL OF SUBSTANCE ABUSE TREATMENT,0740-5472,1873-6483,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,"Psychology, Clinical | Substance Abuse"
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,0890-8567,1527-5418,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",English,"Psychiatry | Psychology, Developmental"
JOURNAL OF THE AMERICAN PSYCHOANALYTIC ASSOCIATION,0003-0651,1941-2460,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Psychoanalysis | Psychiatry"
JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR,0022-5002,1938-3711,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Biological | Psychology, Experimental"
JOURNAL OF THE LEARNING SCIENCES,1050-8406,1532-7809,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Educational | Education & Educational Research"
JOURNAL OF TRAUMA & DISSOCIATION,1529-9732,1529-9740,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Clinical | Psychiatry"
JOURNAL OF TRAUMATIC STRESS,0894-9867,1573-6598,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Clinical | Psychiatry"
JOURNAL OF VOCATIONAL BEHAVIOR,0001-8791,1095-9084,ACADEMIC PRESS INC ELSEVIER SCIENCE,"525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495",English,"Psychology, Applied"
JOURNAL OF WORK AND ORGANIZATIONAL PSYCHOLOGY-REVISTA DE PSICOLOGIA DEL TRABAJO Y DE LAS ORGANIZACIONES,1576-5962,2174-0534,COLEGIO OFICIAL PSICOLOGOS MADRID,"C/CUESTA SAN VICENTE, NO 4, 6 PLANTA, MADRID, SPAIN, 28008","Spanish, English","Psychology, Applied"
JOURNAL OF YOUTH AND ADOLESCENCE,0047-2891,1573-6601,SPRINGER/PLENUM PUBLISHERS,"233 SPRING ST, NEW YORK, USA, NY, 10013",English,"Psychology, Developmental"
JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,1079-5014,1758-5368,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, USA, NC, 27513",English,"Psychology, Multidisciplinary | Gerontology"
JUDGMENT AND DECISION MAKING,1930-2975,1930-2975,SOC JUDGMENT & DECISION MAKING,"FLORIDA STATE UNIV, TALLAHASSEE, USA, FL, 32306-1110",English,"Psychology, Multidisciplinary"
KINDHEIT UND ENTWICKLUNG,0942-5403,2190-6246,HOGREFE & HUBER PUBLISHERS,"MERKELSTR 3, GOTTINGEN, GERMANY, D-37085",German,"Psychology, Developmental"
KOLNER ZEITSCHRIFT FUR SOZIOLOGIE UND SOZIALPSYCHOLOGIE,0023-2653,1861-891X,SPRINGER VIEWEG-SPRINGER FACHMEDIEN WIESBADEN GMBH,"ABRAHAM-LINCOLN STASSE 46, WIESBADEN, GERMANY, 65189",German,"Sociology | Psychology, Social"
LANGUAGE AND COGNITION,1866-9808,1866-9859,CAMBRIDGE UNIV PRESS,"EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU",English,"Linguistics | Psychology, Experimental"
LANGUAGE AND SPEECH,0023-8309,1756-6053,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,"Linguistics | Psychology, Experimental"
LANGUAGE ASSESSMENT QUARTERLY,1543-4303,1543-4311,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Educational | Linguistics"
LANGUAGE COGNITION AND NEUROSCIENCE,2327-3798,2327-3801,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Linguistics | Psychology, Experimental"
LANGUAGE LEARNING AND DEVELOPMENT,1547-5441,1547-3341,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Developmental | Linguistics | Psychology, Experimental"
LATERALITY,1357-650X,1464-0678,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Multidisciplinary | Psychology, Experimental"
LAW AND HUMAN BEHAVIOR,0147-7307,1573-661X,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Social | Law"
LEADERSHIP QUARTERLY,1048-9843,1873-3409,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",English,"Psychology, Applied | Management"
LEARNING AND INDIVIDUAL DIFFERENCES,1041-6080,1873-3425,ELSEVIER,"RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX",English,"Psychology, Educational"
LEARNING AND INSTRUCTION,0959-4752,NA,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,"Psychology, Educational | Education & Educational Research"
LEARNING AND MOTIVATION,0023-9690,1095-9122,ACADEMIC PRESS INC ELSEVIER SCIENCE,"525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495",English,"Psychology, Biological | Psychology, Experimental"
LEARNING & BEHAVIOR,1543-4494,1543-4508,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Psychology, Biological | Psychology, Experimental"
LEGAL AND CRIMINOLOGICAL PSYCHOLOGY,1355-3259,2044-8333,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Multidisciplinary | Law | Criminology & Penology"
MEASUREMENT AND EVALUATION IN COUNSELING AND DEVELOPMENT,0748-1756,1947-6302,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Educational | Psychology, Applied"
MEDIA PSYCHOLOGY,1521-3269,1532-785X,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Communication | Psychology, Applied"
MEMORY,0965-8211,1464-0686,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Experimental"
MEMORY & COGNITION,0090-502X,1532-5946,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Psychology, Experimental"
MERRILL-PALMER QUARTERLY-JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,0272-930X,1535-0266,WAYNE STATE UNIV PRESS,"4809 WOODWARD AVE, DETROIT, USA, MI, 48201-1309",English,"Psychology, Developmental"
METACOGNITION AND LEARNING,1556-1623,1556-1631,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Psychology, Educational | Education & Educational Research"
METHODOLOGY-EUROPEAN JOURNAL OF RESEARCH METHODS FOR THE BEHAVIORAL AND SOCIAL SCIENCES,1614-1881,1614-2241,PSYCHOPEN,"UNIVERSITAETSRING 15, TRIER, GERMANY, 54296",English,"Psychology, Mathematical | Social Sciences, Mathematical Methods"
MILITARY PSYCHOLOGY,0899-5605,1532-7876,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Multidisciplinary"
MIND BRAIN AND EDUCATION,1751-2271,1751-228X,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Developmental | Education & Educational Research"
MINDFULNESS,1868-8527,1868-8535,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",English,"Psychology, Clinical | Psychiatry"
MIND & LANGUAGE,0268-1064,1468-0017,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Linguistics | Psychology, Experimental"
MINNESOTA SYMPOSIA ON CHILD PSYCHOLOGY,0076-9266,2329-5805,JOHN WILEY & SONS,"THE ATRIUM, SOUTHERN GATE, CHICHESTER, ENGLAND, W SUSSEX, PO 19 8SQ",English,"Psychology, Developmental"
MONOGRAPHS OF THE SOCIETY FOR RESEARCH IN CHILD DEVELOPMENT,0037-976X,1540-5834,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Developmental"
MOTIVATION AND EMOTION,0146-7239,1573-6644,SPRINGER/PLENUM PUBLISHERS,"233 SPRING ST, NEW YORK, USA, NY, 10013",English,"Psychology, Experimental | Psychology, Social"
MULTISENSORY RESEARCH,2213-4794,2213-4808,BRILL,"PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA",English,"Psychology, Experimental"
MULTIVARIATE BEHAVIORAL RESEARCH,0027-3171,1532-7906,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Experimental | Social Sciences, Mathematical Methods"
MUSICAE SCIENTIAE,1029-8649,2045-4147,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,"Psychology, Experimental"
MUSIC PERCEPTION,0730-7829,1533-8312,UNIV CALIFORNIA PRESS,"155 GRAND AVE, SUITE 400, OAKLAND, USA, CA, 94612-3758",English,"Psychology, Experimental"
NATURE HUMAN BEHAVIOUR,2397-3374,2397-3374,NATURE PUBLISHING GROUP,"75 VARICK ST, 9TH FLR, NEW YORK, USA, NY, 10013-1917",English,"Psychology, Experimental"
NEBRASKA SYMPOSIUM ON MOTIVATION,0146-7875,NA,SPRINGER,"233 SPRING STREET, NEW YORK, UNITED STATES, NY, 10013",English,"Psychology, Social"
NEGOTIATION AND CONFLICT MANAGEMENT RESEARCH,1750-4708,1750-4716,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Management | Psychology, Applied"
NEUROBIOLOGY OF LEARNING AND MEMORY,1074-7427,1095-9564,ACADEMIC PRESS INC ELSEVIER SCIENCE,"525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495",English,"Psychology, Multidisciplinary"
NEUROPSYCHOLOGIA,0028-3932,1873-3514,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,"Psychology, Experimental"
NEUROPSYCHOLOGY,0894-4105,1931-1559,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Clinical"
NEUROPSYCHOLOGY REVIEW,1040-7308,1573-6660,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Psychology, Clinical"
NEW DIRECTIONS FOR CHILD AND ADOLESCENT DEVELOPMENT,1534-8687,1534-8687,WILEY PERIODICALS,"989 MARKET STREET, SAN FRANCISCO, USA, CA, 94103-1741",English,"Psychology, Developmental"
NEW IDEAS IN PSYCHOLOGY,0732-118X,1873-3522,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,"Psychology, Multidisciplinary | Psychology, Experimental"
NONLINEAR DYNAMICS PSYCHOLOGY AND LIFE SCIENCES,1090-0578,1573-6652,SOC CHAOS THEORY PSYCHOLOGY & LIFE SCIENCES,"W282 N4302 SOMERSET LN, PEWAUKEE, USA, WI, 53072",English,"Psychology, Mathematical | Social Sciences, Mathematical Methods"
NORDIC PSYCHOLOGY,1901-2276,1904-0016,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Multidisciplinary"
OMEGA-JOURNAL OF DEATH AND DYING,0030-2228,1541-3764,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Multidisciplinary | Social Sciences, Biomedical"
ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,0749-5978,1095-9920,ACADEMIC PRESS INC ELSEVIER SCIENCE,"525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495",English,"Psychology, Social | Management | Psychology, Applied"
ORGANIZATIONAL DYNAMICS,0090-2616,1873-3530,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",English,"Business | Management | Psychology, Applied"
ORGANIZATIONAL PSYCHOLOGY REVIEW,2041-3866,2041-3874,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Management | Psychology, Applied"
ORGANIZATIONAL RESEARCH METHODS,1094-4281,1552-7425,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Applied | Management"
PARENTING-SCIENCE AND PRACTICE,1529-5192,1532-7922,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Developmental | Family Studies"
PERCEPTION,0301-0066,1468-4233,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",Multi-Language,"Psychology, Experimental"
PERCEPTUAL AND MOTOR SKILLS,0031-5125,1558-688X,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Experimental"
PERSONALITY AND INDIVIDUAL DIFFERENCES,0191-8869,NA,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,"Psychology, Social"
PERSONALITY AND MENTAL HEALTH,1932-8621,1932-863X,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Social | Psychiatry"
PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN,0146-1672,1552-7433,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Social"
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,1088-8683,1532-7957,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Social"
PERSONALITY DISORDERS-THEORY RESEARCH AND TREATMENT,1949-2715,1949-2723,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,"750 FIRST ST, NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Clinical"
PERSONAL RELATIONSHIPS,1350-4126,1475-6811,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Communication | Psychology, Social"
PERSONNEL PSYCHOLOGY,0031-5826,1744-6570,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Applied | Management"
PERSONNEL REVIEW,0048-3486,1758-6933,EMERALD GROUP PUBLISHING LTD,"HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA",English,"Management | Psychology, Applied | Industrial Relations & Labor"
PERSPECTIVES ON BEHAVIOR SCIENCE,2520-8969,2520-8977,SPRINGER INTERNATIONAL PUBLISHING AG,"GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330",English,"Psychology, Clinical"
PERSPECTIVES ON PSYCHOLOGICAL SCIENCE,1745-6916,1745-6924,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,"Psychology, Multidisciplinary"
PHILOSOPHICAL PSYCHOLOGY,0951-5089,1465-394X,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Multidisciplinary | Ethics"
PHYSIOLOGY & BEHAVIOR,0031-9384,1873-507X,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",Multi-Language,"Psychology, Biological"
POLITICAL PSYCHOLOGY,0162-895X,1467-9221,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Political Science | Psychology, Social"
PRATIQUES PSYCHOLOGIQUES,1269-1763,NA,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,"65 RUE CAMILLE DESMOULINS, CS50083, ISSY-LES-MOULINEAUX, FRANCE, 92442",French,"Psychology, Multidisciplinary"
PRAXIS DER KINDERPSYCHOLOGIE UND KINDERPSYCHIATRIE,0032-7034,2196-8225,VANDENHOECK & RUPRECHT GMBH & CO KG,"VIENNA UNIV PRESS, ROBERT BOSCH BREITE 6, GOTTINGEN, GERMANY, D-37079",German,"Psychology, Developmental | Psychiatry"
PROFESSIONAL PSYCHOLOGY-RESEARCH AND PRACTICE,0735-7028,1939-1323,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Multidisciplinary"
PSICOLOGIA EDUCATIVA,1135-755X,2174-0526,COLEGIO OFICIAL PSICOLOGOS MADRID,"C/CUESTA SAN VICENTE, NO 4, 6 PLANTA, MADRID, SPAIN, 28008","Spanish, English","Psychology, Multidisciplinary | Psychology, Educational | Education & Educational Research"
PSICOLOGIA-REFLEXAO E CRITICA,0102-7972,1678-7153,SPRINGER INTERNATIONAL PUBLISHING AG,"GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330",English,"Psychology, Multidisciplinary"
PSICOLOGICA,0211-2159,1576-8597,"UNIV VALENCIA, DEPT METODOLGIA, FAC PSICOLOGIA","AVDO BLASCO IBANEZ, 21, VALENCIA, SPAIN, 46010","Spanish, English","Psychology, Experimental"
PSICOTHEMA,0214-9915,1886-144X,COLEGIO OFICIAL DE PSICOLOGOS DE ASTURIAS,"ILDEFONSO S. DEL RIO, 4-1 B, OVIEDO, SPAIN, 33001",English,"Psychology, Multidisciplinary"
PSIHOLOGIJA,0048-5705,1451-9283,ASSOC SERBIAN PSYCHOLOGISTS,"DUSINA 7-3, BEOGRAD, SERBIA, 11000","Serbo-Croatian, English, Serbian","Psychology, Multidisciplinary"
PSIKHOLOGICHESKII ZHURNAL,0205-9592,NA,MEZHDUNARODNAYA KNIGA,"39 DIMITROVA UL., MOSCOW, RUSSIA, 113095",Russian,"Psychology, Multidisciplinary"
PSYCHE-ZEITSCHRIFT FUR PSYCHOANALYSE UND IHRE ANWENDUNGEN,0033-2623,NA,KLETT-COTTA VERLAG,"ROTEBUHLSTRASSE 77, STUTTGART 1, GERMANY, D-7004 9",German,"Psychology, Psychoanalysis"
PSYCHIATRY PSYCHOLOGY AND LAW,1321-8719,1934-1687,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Multidisciplinary | Law | Psychiatry | Criminology & Penology"
PSYCH JOURNAL,2046-0252,2046-0260,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Multidisciplinary"
PSYCHOANALYSIS AND HISTORY,1460-8235,1755-201X,EDINBURGH UNIV PRESS,"THE TUN-HOLYROOD RD, 12 2F JACKSONS ENTRY, EDINBURGH, SCOTLAND, EH8 8PJ",English,"History | History Of Social Sciences | Psychology, Psychoanalysis"
