Timestamp,Select your initials,Enter journal name,Enter society affiliation (if applicable),Provide perma.cc link(s) to policy information on journal website,Data citation,Data citation justification quote,Data transparency,Data transparency justification quote,Analytical code transparency,Analytical code transparency justification quote,Materials transparency,Materials transparency justification quote,Reporting guidelines,Reporting guidelines justification quote,Study preregistration,Study preregistration justification quote,Analysis pre-registration,Analysis pre-registration justification text,Replication,Replication justification quote,Publication bias,Publication bias justification quote,Open science badges,Open science badges justification quote,If there's anything unusual or important to note about this journal write it here
9/5/2020 0:06:53,BAN,Computers in Human Behavior,,https://perma.cc/283N-RQZ6,1. Journal describes citation of data in guidelines to authors with clear rules and examples.,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article."" Encourages, not requires.","0. Data sharing is encouraged, or not mentioned.","""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles."" ""To foster transparency, we encourage you to state the availability of your data in your submission. "" Encourages, not requires.","0. Code sharing is encouraged, or not mentioned.","""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""","0. Materials sharing is encouraged, or not mentioned.","""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",1. Journal articulates design transparency standards.,"""The manuscript should be in line with the Recommendations for the Conduct, Reporting, Editing and Publication of Scholarly Work in Medical Journals and aim for the inclusion of representative human populations (sex, age and ethnicity) as per those recommendations. "" ""All animal experiments should comply with the ARRIVE guidelines and should be carried out in accordance with the U.K. Animals (Scientific Procedures) Act, 1986 and associated guidelines, EU Directive 2010/63/EU for animal experiments, or the National Institutes of Health guide for the care and use of Laboratory animals (NIH Publications No. 8023, revised 1978) and the authors should clearly indicate in the manuscript that such guidelines have been followed. "" Should, not must.",0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
9/5/2020 0:10:59,BAN,Psychological Medicine,,https://perma.cc/V8QE-5Q52,0. No mention of data citation.,,"0. Data sharing is encouraged, or not mentioned.",,"0. Code sharing is encouraged, or not mentioned.",,"0. Materials sharing is encouraged, or not mentioned.",,0. No mention of reporting guidelines.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
9/5/2020 0:19:23,BAN,Journal of the American Academy of Child and Adolescent Psychiatry,American Academy of Child and Adolescent Psychiatry,https://perma.cc/GD48-CXR5,1. Journal describes citation of data in guidelines to authors with clear rules and examples.,"""Data References. The Journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""","0. Data sharing is encouraged, or not mentioned.",,"0. Code sharing is encouraged, or not mentioned.",,"0. Materials sharing is encouraged, or not mentioned.",,1. Journal articulates design transparency standards.,"""Authors should make use of appropriate reporting guidelines when drafting their manuscripts (see Reporting Guidelines).""  ""Reporting guidelines have been developed for different study designs; examples include CONSORT for randomized trials, STROBE for observational studies, PRISMA for systematic reviews and meta-analyses, and STARD for studies of diagnostic accuracy. Authors are strongly encouraged to follow these guidelines because they help authors describe the study in enough detail for it to be evaluated by editors, reviewers, readers, and other researchers evaluating the medical literature."" Should/encouraged, not must/required.",0. Journal says nothing.,"""In accordance with ICMJE guidelines, JAACAP requires the registration of clinical trials in a public trials registry at or before the time of first patient enrollment as a condition of consideration for publication. "" Required for clinical trials only.",0. Journal says nothing.,,0. Journal says nothing.,,3. Journal accepts Registered Reports for novel studies as a regular submission option.,"""Registered Reports are a form of empirical article in which the methods and proposed analyses are preregistered and reviewed prior to research being conducted. Authors submit their study methods and analytic plan prior to the commencement of data collection (in the case of intervention research and most other studies) or prior to the commencement of data analysis (in the case of secondary analysis of existing data). This is also known as Study Preregistration. The goal of publishing Registered Reports is to increase the overall quality of the research literature by ensuring that papers by investigators who commit to conducting hypothetical-deductive research are published regardless of the ultimate study results. Registered Reports are open to studies using a variety of empirical designs including clinical trials, observational studies, and systematic reviews and meta-analyses. All Registered Report submissions must be approved by the editors in advance of submission. Inquiries about potential topics are welcome at support@jaacap.org. See Registered Reports Guide for additional information.""",0. Journal says nothing.,,
9/5/2020 0:25:16,BAN,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,,https://perma.cc/3NT3-ZTSH,0. No mention of data citation.,,1. Articles must state whether or not data are available. Requiring a data availability statement satisfies this level,"""All manuscripts must contain the following sections under the heading 'Declarations'. Availability of data and material (data transparency)."" ""The journal encourages authors, where possible and applicable, to deposit data that support the findings of their research in a public repository. Authors and editors who do not have a preferred repository should consult Springer Nature’s list of repositories and research data policy.""",1. Articles must state whether or not code is available. Requiring a code availability statement satisfies this level.,All manuscripts must contain the following sections under the heading 'Declarations'. Code availability (software application or custom code),1. Articles must state whether or not materials are available. Requiring a materials availability statement satisfies this level.,All manuscripts must contain the following sections under the heading 'Declarations'. Availability of data and material (data transparency),0. No mention of reporting guidelines.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
9/5/2020 0:27:32,BAN,Bulletin of the Menninger Clinic,,https://perma.cc/TAR6-MN7R,0. No mention of data citation.,,"0. Data sharing is encouraged, or not mentioned.",,"0. Code sharing is encouraged, or not mentioned.",,"0. Materials sharing is encouraged, or not mentioned.",,0. No mention of reporting guidelines.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
9/5/2020 3:18:45,BAN,Journal of Literacy Research,Literacy Research Association,https://perma.cc/Q2VB-SGL5,0. No mention of data citation.,,"0. Data sharing is encouraged, or not mentioned.",,"0. Code sharing is encouraged, or not mentioned.",,"0. Materials sharing is encouraged, or not mentioned.",,0. No mention of reporting guidelines.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
9/5/2020 3:21:40,BAN,Journal of Positive Behavior Interventions,APBS,https://perma.cc/U8X6-SS4Q,0. No mention of data citation.,,"0. Data sharing is encouraged, or not mentioned.",,"0. Code sharing is encouraged, or not mentioned.",,"0. Materials sharing is encouraged, or not mentioned.",,0. No mention of reporting guidelines.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
9/5/2020 3:27:16,BAN,i-Perception,,https://perma.cc/M9EG-JTLT,0. No mention of data citation.,,"0. Data sharing is encouraged, or not mentioned.","""SAGE acknowledges the importance of research data availability as an integral part of the research and verification process for academic journal articles.  Once accepted for publication, the author is expected to make stimulus material and raw data available if requested.

Some funders require, and SAGE strongly recommends, that you provide a statement on how any underlying research materials related to your paper (for example data, samples or models) can be accessed."" Recommended, not required.","0. Code sharing is encouraged, or not mentioned.",,"0. Materials sharing is encouraged, or not mentioned.",,0. No mention of reporting guidelines.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,3. Journal accepts Registered Reports for novel studies as a regular submission option.,"""Registered Reports:  These allow you to submit a prospective manuscript for a study that you have not yet run. The review is completed in 2 stages.  At Stage 1 (before results) the manuscript will be assessed on the basis of how strong the hypotheses are and whether the methodology and design are robust and promising. At this point the paper can be accepted in principle or rejected. If accepted in principle then the final article should be accepted unless the final manuscript fails to conduct the study originally described. The Stage 1 manuscript should include: introduction - spelling out why the study is important; methods - including information to interpret whether the study is sufficiently well-powered to find a positive result (or to interpret a null result); analysis - detailing as fully as possible the analysis steps that will be used. The Stage 1 submission may also include pilot data, but this is not required. Stage 1 acceptance is conditional on the authors also submitting, immediately after Stage 1 acceptance, a formal registration to an appropriate repository such as the Open Science Framework (see https://osf.io/rr/). At Stage 2 (after results), you should add the data and analyses previously described, and a discussion, so the final paper is similar to a Standard Article. Additional data and/or analyses, not included in Stage 1, can also be provided at this stage but these must be clearly distinguished from the a priori analyses. """,0. Journal says nothing.,,
9/5/2020 3:39:30,BAN,Journal of Health Psychology,,https://perma.cc/75MS-HV2Q,0. No mention of data citation.,,"2. Articles must have publicly available data, or an explanation why ethical or legal constraints prevent it.","""From the 1st July 2020 Journal of Health Psychology requires authors to share only those data described in the publication and to submit a Data Sharing Statement alongside their submission.""",1. Articles must state whether or not code is available. Requiring a code availability statement satisfies this level.,"""Data sharing statements must indicate the following: whether individual de-identified participant data (including data dictionaries) are shared; what data in particular are shared; additional, related documents that are available (e.g. study protocol and statistical analysis plan). "" ""It is Journal of Health Psychology policy that authors submit detailed information on empirical analysis alongside their written article. Authors should upload at least the first four files listed below when they submit their article. ... syntax file(s) from the software that has been used for the analysis;"" ""In addition to sharing the raw data, Journal of Health Psychology requires authors to delineate clearly the analytic procedures upon which their published claims rely and, where possible, provide access to all relevant analytic materials.""",1. Articles must state whether or not materials are available. Requiring a materials availability statement satisfies this level.,"""Data sharing statements must indicate the following: whether individual de-identified participant data (including data dictionaries) are shared; what data in particular are shared; additional, related documents that are available (e.g. study protocol and statistical analysis plan). """,1. Journal articulates design transparency standards.,"""The relevant EQUATOR Network reporting guidelines should be followed depending on the type of study. For example, all randomized controlled trials submitted for publication should include a completed CONSORT flow chart as a cited figure and the completed CONSORT checklist should be uploaded with your submission as a supplementary file. Systematic reviews and meta-analyses should include the completed PRISMA flow chart as a cited figure and the completed PRISMA checklist should be uploaded with your submission as a supplementary file. The EQUATOR wizard can help you identify the appropriate guideline."" Should, not must.","2. Article states whether work was preregistered and, if so, journal verifies adherence to preregistered plan.","""Researchers conducting experimental studies are encouraged to consider pre-registering their research design in advance with an established registry. Journal of Health Psychology will publish papers where authors indicate the conducted research was preregistered with an analysis plan in an independent, institutional registry (e.g., http://clinicaltrials.gov/) of studies involves registering the study design, variables, and treatment conditions. Including an analysis plan involves specification of sequence of analyses or the statistical model that will be reported.

For preregistered studies, the following requirements apply:

Authors must, in acknowledgments or the first footnote, indicate that research was preregistered in an independent, institutional registry (with name and link to its location) with an analysis plan;
The author must:
1. confirm in the text that the study was registered prior to conducting the research with links to the time-stamped preregistration(s) at the institutional registry, and that the preregistration adheres to the disclosure requirements of the institutional registry or those required for the preregistered badge with analysis plans maintained by the Center for Open Science.

2. report all pre-registered analyses in the text, or, if there were changes in the analysis plan following preregistration, those changes must be disclosed with explanation for the changes clearly distinguish in text analyses that were preregistered from those that were not, such as having separate sections in the results for confirmatory and exploratory analyses (these changes are added as a separate document linked to the text of the main paper)""","2. Article states whether work was preregistered with an analysis plan and, if so, journal verifies adherence to preregistered plan.","""Researchers conducting experimental studies are encouraged to consider pre-registering their research design in advance with an established registry. Journal of Health Psychology will publish papers where authors indicate the conducted research was preregistered with an analysis plan in an independent, institutional registry (e.g., http://clinicaltrials.gov/) of studies involves registering the study design, variables, and treatment conditions. Including an analysis plan involves specification of sequence of analyses or the statistical model that will be reported.

For preregistered studies, the following requirements apply:

Authors must, in acknowledgments or the first footnote, indicate that research was preregistered in an independent, institutional registry (with name and link to its location) with an analysis plan;
The author must:
1. confirm in the text that the study was registered prior to conducting the research with links to the time-stamped preregistration(s) at the institutional registry, and that the preregistration adheres to the disclosure requirements of the institutional registry or those required for the preregistered badge with analysis plans maintained by the Center for Open Science.

2. report all pre-registered analyses in the text, or, if there were changes in the analysis plan following preregistration, those changes must be disclosed with explanation for the changes clearly distinguish in text analyses that were preregistered from those that were not, such as having separate sections in the results for confirmatory and exploratory analyses (these changes are added as a separate document linked to the text of the main paper)""",1. Journal encourages submission of replication studies.,"""Journal of Health Psychology encourages the submission of replication studies regardless of whether or not the findings are statistically significant.""",0. Journal says nothing.,,0. Journal says nothing.,,"Check this. The prereg badge is mentioned, but it is not clear whether they offer badges."
9/5/2020 3:47:55,BAN,Journal of Developmental and Physical Disabilities,,https://perma.cc/DGH3-ZKL4,0. No mention of data citation.,,1. Articles must state whether or not data are available. Requiring a data availability statement satisfies this level,"""All manuscripts must contain the following sections under the heading 'Declarations'. ...Availability of data and material (data transparency)"" ""The journal encourages authors, where possible and applicable, to deposit data that support the findings of their research in a public repository.""",1. Articles must state whether or not code is available. Requiring a code availability statement satisfies this level.,"""""All manuscripts must contain the following sections under the heading 'Declarations'. ...Code availability (software application or custom code)""",1. Articles must state whether or not materials are available. Requiring a materials availability statement satisfies this level.,"""All manuscripts must contain the following sections under the heading 'Declarations'. ...Availability of data and material (data transparency)""",1. Journal articulates design transparency standards.,"""Springer Nature advocates complete and transparent reporting of biomedical and biological research and research with biological applications. Authors are recommended to adhere to the minimum reporting guidelines hosted by the EQUATOR Network when preparing their manuscript.""",0. Journal says nothing.,"""To ensure the integrity of the reporting of patient-centered trials, authors must register prospective clinical trials (phase II to IV trials) in suitable publicly available repositories. ... Purely observational trials will not require registration."" Required for clinical trials only.",0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
9/5/2020 3:56:23,BAN,Journal of Psychosocial Oncology,Association of Oncology Social Work,https://perma.cc/6TLT-YZC5,0. No mention of data citation.,"""Authors are further encouraged to cite any data sets referenced in the article and provide a Data Availability Statement."" Does not include information about how to cite data.","0. Data sharing is encouraged, or not mentioned.","""If there is a data set associated with the paper, please provide information about where the data supporting the results or analyses presented in the paper can be found. Where applicable, this should include the hyperlink, DOI or other persistent identifier associated with the data set(s).""  ""Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns."" ""Authors are further encouraged to cite any data sets referenced in the article and provide a Data Availability Statement."" Does not require a data availability statement regardless of availability.","0. Code sharing is encouraged, or not mentioned.",,"0. Materials sharing is encouraged, or not mentioned.",,1. Journal articulates design transparency standards.,"""We suggest that authors use Consolidated Standards of Reporting Trials (CONSORT) guidelines for submissions on randomized clinical trials and Consolidated Criteria for Reporting Qualitative Research (COREQ) guidelines for qualitative research."" ""Authors should follow the Preferred Reporting of Items for Systematic Reviews and Meta-analyses (PRISMA) Checklist at http://www.prisma-statement.org and the completed checklist should be added to the manuscript upon submission.""  Suggest/should instead of will/must.",0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
9/5/2020 4:00:21,BAN,Journal of Psychoactive Drugs,,https://perma.cc/ERR2-MASA,0. No mention of data citation.,"""Authors are further encouraged to cite any data sets referenced in the article and provide a Data Availability Statement."" No guidance for citing data.","0. Data sharing is encouraged, or not mentioned.","""If there is a data set associated with the paper, please provide information about where the data supporting the results or analyses presented in the paper can be found."" ""Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns."" ""Authors are further encouraged to cite any data sets referenced in the article and provide a Data Availability Statement."" Encouraged, not required.","0. Code sharing is encouraged, or not mentioned.",,"0. Materials sharing is encouraged, or not mentioned.",,0. No mention of reporting guidelines.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
9/5/2020 4:04:04,BAN,ANXIETY STRESS AND COPING,,https://perma.cc/VYU4-PBNU,0. No mention of data citation.,"""Authors are further encouraged to cite any data sets referenced in the article and provide a Data Availability Statement."" No guidance for data citation.","0. Data sharing is encouraged, or not mentioned.","""If there is a data set associated with the paper, please provide information about where the data supporting the results or analyses presented in the paper can be found."" ""Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns."" ""Authors are further encouraged to cite any data sets referenced in the article and provide a Data Availability Statement."" Encouraged, not required.","0. Code sharing is encouraged, or not mentioned.",,"0. Materials sharing is encouraged, or not mentioned.",,0. No mention of reporting guidelines.,,0. Journal says nothing.,"""In order to be published in a Taylor & Francis journal, all clinical trials must have been registered in a public repository at the beginning of the research process (prior to patient enrolment)."" Required for clinical trials only.",0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,0. Journal says nothing.,,
