"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SSCI Selected Categories: 'PSYCHOLOGY, CLINICAL' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
53,EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,"2,673",2.217,0.003000
54,JOURNAL OF PERSONALITY ASSESSMENT,"8,074",2.185,0.004090
55,FAMILY PROCESS,"2,559",2.175,0.002390
56,Eating Behaviors,"3,176",2.156,0.005010
57,ARCHIVES OF CLINICAL NEUROPSYCHOLOGY,"4,705",2.154,0.004180
58,INTERNATIONAL JOURNAL OF BEHAVIORAL MEDICINE,"2,724",2.139,0.003660
59,JOURNAL OF CLINICAL PSYCHOLOGY,"8,753",2.138,0.006250
60,SEXUAL ABUSE-A JOURNAL OF RESEARCH AND TREATMENT,"1,337",2.130,0.001400
61,BEHAVIOR MODIFICATION,"2,246",2.105,0.001990
62,COGNITIVE AND BEHAVIORAL PRACTICE,"1,837",2.096,0.002290
63,Psychological Services,"1,236",2.095,0.002820
64,JOURNAL OF PSYCHOPATHOLOGY AND BEHAVIORAL ASSESSMENT,"3,207",2.056,0.003570
65,Psychology Research and Behavior Management,682,2.030,0.001340
66,Eating Disorders,"1,149",2.013,0.001110
67,Journal of Psychosomatic Obstetrics & Gynecology,"1,397",2.000,0.001070
68,JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY,"3,784",1.960,0.004740
69,JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY,"5,334",1.958,0.003720
70,JOURNAL OF TRAUMATIC STRESS,"7,702",1.926,0.006020
71,JOURNAL OF PSYCHOACTIVE DRUGS,"1,824",1.859,0.002020
71,Journal of Trauma & Dissociation,971,1.859,0.001260
73,JOURNAL OF FAMILY PSYCHOLOGY,"6,727",1.836,0.005990
74,JOURNAL OF SEX & MARITAL THERAPY,"2,280",1.775,0.001830
75,Child and Adolescent Mental Health,"1,016",1.770,0.001370
76,BEHAVIOURAL AND COGNITIVE PSYCHOTHERAPY,"1,927",1.657,0.002270
77,International Journal of Mental Health and Addiction,"1,476",1.648,0.002430
78,Clinical Child Psychology and Psychiatry,"1,233",1.647,0.001280
79,BEHAVIORAL DISORDERS,808,1.625,0.000890
80,AMERICAN BEHAVIORAL SCIENTIST,"5,627",1.601,0.006150
81,JOURNAL OF APPLIED BEHAVIOR ANALYSIS,"5,076",1.540,0.002120
82,CRIMINAL JUSTICE AND BEHAVIOR,"3,807",1.523,0.003670
82,Journal of Contextual Behavioral Science,662,1.523,0.001540
84,REHABILITATION PSYCHOLOGY,"1,971",1.484,0.002170
85,JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,"3,227",1.472,0.001820
86,JOURNAL OF MARITAL AND FAMILY THERAPY,"2,028",1.421,0.001110
87,JOURNAL OF CLINICAL PSYCHOLOGY IN MEDICAL SETTINGS,"1,053",1.412,0.001060
88,JOURNAL OF FAMILY VIOLENCE,"2,743",1.357,0.002720
89,Journal of Experimental Psychopathology,405,1.340,0.000850
90,Clinical Psychologist,358,1.333,0.000660
91,ARTS IN PSYCHOTHERAPY,"1,088",1.322,0.000700
92,APPLIED PSYCHOPHYSIOLOGY AND BIOFEEDBACK,"1,352",1.246,0.000980
93,Journal of Dual Diagnosis,419,1.231,0.000980
94,Perspectives on Behavior Science,109,1.219,0.000100
95,International Journal of Sexual Health,439,1.191,0.000890
96,Sexual and Relationship Therapy,601,1.125,0.000700
97,Psychosis-Psychological Social and Integrative Approaches,390,1.085,0.000820
98,PSYCHOTHERAPIE PSYCHOSOMATIK MEDIZINISCHE PSYCHOLOGIE,855,1.051,0.000740
99,JOURNAL OF CONSTRUCTIVIST PSYCHOLOGY,411,1.036,0.000270
100,BEHAVIOUR CHANGE,439,1.032,0.000550
101,Journal of Aggression Maltreatment & Trauma,"1,184",1.030,0.001360
102,Behavioral Psychology-Psicologia Conductual,434,1.017,0.000340
103,Journal of Latina-o Psychology,260,0.978,0.000940
104,PSYCHOANALYTIC PSYCHOLOGY,742,0.958,0.000950
105,Journal of Child Sexual Abuse,"1,078",0.929,0.001440
106,ZEITSCHRIFT FUR KLINISCHE PSYCHOLOGIE UND PSYCHOTHERAPIE,457,0.900,0.000250
107,Journal of Rational-Emotive and Cognitive-Behavior Therapy,505,0.880,0.000400
108,ZEITSCHRIFT FUR PSYCHOSOMATISCHE MEDIZIN UND PSYCHOTHERAPIE,303,0.850,0.000260
109,Clinical Case Studies,313,0.817,0.000260
110,AMERICAN JOURNAL OF CLINICAL HYPNOSIS,373,0.766,0.000330
111,VERHALTENSTHERAPIE,276,0.744,0.000340
112,BEHAVIORAL INTERVENTIONS,520,0.731,0.000560
113,INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL HYPNOSIS,751,0.720,0.000370
114,JOURNAL OF FAMILY THERAPY,676,0.697,0.000420
115,European Journal of Health Psychology,9,0.692,0.000030
116,Journal of Cognitive Psychotherapy,863,0.615,0.000340
117,AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH RESEARCH,353,0.613,0.000280
118,International Journal of Cognitive Therapy,577,0.580,0.000970
119,Revista Iberoamericana de Diagnostico y Evaluacion-e Avaliacao Psicologica,186,0.576,0.000130
120,AMERICAN JOURNAL OF FAMILY THERAPY,705,0.564,0.000390
121,INTERNATIONAL JOURNAL OF GROUP PSYCHOTHERAPY,362,0.523,0.000260
122,CHILD & FAMILY BEHAVIOR THERAPY,385,0.520,0.000230
123,Zeitschrift fur Psychiatrie Psychologie und Psychotherapie,178,0.512,0.000120
124,Revista Argentina de Clinica Psicologica,176,0.508,0.000130
125,Terapia Psicologica,278,0.500,0.000230
126,DIAGNOSTICA,996,0.488,0.000370
127,Zeitschrift fur Sexualforschung,114,0.471,0.000040
128,PSYCHOTHERAPEUT,327,0.462,0.000350
129,Clinica y Salud,244,0.452,0.000110
130,Journal of Evidence-Based Psychotherapies,47,0.410,0.000190
131,GRUPPENPSYCHOTHERAPIE UND GRUPPENDYNAMIK,42,0.361,0.000000
Copyright © 2020 Clarivate Analytics,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
